"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-01",,"1.81","22.8","26.5","35.8","17.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-02",,"1.19","2.3","36.1","46.3","26.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-03",,"0.98","4.0","40.8","51.7","29.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-04",,"1.29","1.8","48.5","61.4","35.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-05",,"2.19","2.2","54.2","67.1","41.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-06",,"0.16","0.0","65.9","82.3","49.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-07",,"1.06","0.0","74.3","88.6","60.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-08",,"0.03","0.0","73.8","89.6","57.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-09",,"1.73","0.0","63.4","76.3","50.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-10",,"0.58","0.0","57.9","72.1","43.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-11",,"2.00","2.5","41.5","51.6","31.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-12",,"0.49","3.8","35.4","39.9","30.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-01",,"1.70","15.7","29.6","37.8","21.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-02",,"0.65","3.4","36.3","46.3","26.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-03",,"1.26","8.9","37.1","48.8","25.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-04",,"2.60","1.7","50.2","62.2","38.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-05",,"0.87","0.0","59.0","71.2","46.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-06",,"0.09","0.0","63.8","77.6","49.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-07",,"2.17","0.0","75.7","91.1","60.4",
