PRISM Time Series Data
Location:  Lat: 40.7514   Lon: -112.3389   Elev: 1281m
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 1895-01 - 2022-10
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-Nov-16
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmean (degrees C)
1895-01,44.26,-3.4
1895-02,28.65,-2.6
1895-03,34.23,4.1
1895-04,26.35,11.0
1895-05,44.07,15.6
1895-06,10.04,18.5
1895-07,11.25,23.5
1895-08,8.10,24.0
1895-09,20.07,16.9
1895-10,16.44,11.3
1895-11,28.59,2.7
1895-12,20.46,-3.1
1896-01,29.88,0.9
1896-02,10.97,1.9
1896-03,33.90,4.8
1896-04,47.07,8.3
1896-05,64.49,12.8
1896-06,5.89,21.9
1896-07,28.34,24.3
1896-08,21.76,23.5
1896-09,17.12,16.8
1896-10,15.29,12.1
1896-11,47.84,2.8
1896-12,9.27,2.4
1897-01,29.99,-1.6
1897-02,49.10,0.4
1897-03,44.96,1.5
1897-04,23.03,10.0
1897-05,12.12,18.5
1897-06,7.78,19.1
1897-07,13.05,22.8
1897-08,11.15,24.8
1897-09,42.57,19.3
1897-10,58.68,10.0
1897-11,28.03,5.9
1897-12,30.98,-1.6
1898-01,21.85,-5.9
1898-02,10.51,1.9
1898-03,38.58,3.1
1898-04,25.61,12.3
1898-05,108.66,13.4
1898-06,23.52,20.0
1898-07,9.05,24.9
1898-08,10.87,25.4
1898-09,4.29,17.4
1898-10,28.40,8.9
1898-11,36.39,2.7
1898-12,13.88,-4.8
1899-01,27.66,0.7
1899-02,30.49,-0.7
1899-03,52.77,4.7
1899-04,18.25,10.5
1899-05,34.19,12.5
1899-06,16.33,19.0
1899-07,11.38,24.9
1899-08,21.20,21.7
1899-09,2.80,18.7
1899-10,45.47,9.4
1899-11,23.77,7.0
1899-12,27.74,-1.9
1900-01,13.69,2.2
1900-02,17.33,1.6
1900-03,5.15,8.2
1900-04,80.90,9.9
1900-05,17.00,15.9
1900-06,3.29,22.6
1900-07,4.91,24.0
1900-08,6.80,23.1
1900-09,31.91,16.4
1900-10,30.94,10.5
1900-11,54.65,6.1
1900-12,4.37,1.4
1901-01,20.01,0.2
1901-02,47.24,1.2
1901-03,28.05,4.6
1901-04,31.66,9.3
1901-05,56.76,17.1
1901-06,7.95,18.6
1901-07,5.33,26.2
1901-08,33.47,25.0
1901-09,9.55,16.1
1901-10,32.17,12.7
1901-11,14.98,6.8
1901-12,31.39,1.2
1902-01,14.30,-1.5
1902-02,24.86,3.7
1902-03,36.66,3.6
1902-04,54.51,10.1
1902-05,28.00,15.1
1902-06,6.08,20.6
1902-07,8.70,22.3
1902-08,4.56,23.2
1902-09,8.89,16.7
1902-10,7.88,11.2
1902-11,41.12,4.3
1902-12,25.09,-0.0
1903-01,44.01,-0.8
1903-02,21.83,-7.1
1903-03,33.71,4.7
1903-04,39.53,9.1
1903-05,48.58,13.2
1903-06,9.69,21.6
1903-07,6.06,23.4
1903-08,4.26,23.7
1903-09,16.39,16.3
1903-10,25.72,10.9
1903-11,44.14,4.2
1903-12,10.09,-2.1
1904-01,39.22,-4.3
1904-02,48.99,1.9
1904-03,80.79,4.9
1904-04,44.86,10.2
1904-05,56.21,15.1
1904-06,9.90,18.8
1904-07,13.54,24.0
1904-08,14.57,23.6
1904-09,7.60,18.9
1904-10,26.53,11.0
1904-11,0.00,4.8
1904-12,19.49,-0.5
1905-01,15.92,-0.4
1905-02,29.74,1.0
1905-03,62.12,7.1
1905-04,46.05,11.1
1905-05,50.57,13.2
1905-06,7.53,21.1
1905-07,9.75,24.8
1905-08,18.20,25.1
1905-09,46.11,19.1
1905-10,9.91,8.7
1905-11,29.47,5.0
1905-12,16.46,-3.4
1906-01,35.06,-2.9
1906-02,23.93,0.9
1906-03,83.50,3.6
1906-04,78.12,9.6
1906-05,76.59,13.5
1906-06,28.42,17.3
1906-07,9.59,24.0
1906-08,61.36,22.4
1906-09,29.44,16.8
1906-10,10.84,10.0
1906-11,41.01,3.8
1906-12,31.98,2.5
1907-01,54.78,-2.0
1907-02,50.58,5.2
1907-03,57.78,7.1
1907-04,28.55,11.0
1907-05,57.65,13.6
1907-06,49.97,16.0
1907-07,9.75,24.1
1907-08,34.64,22.3
1907-09,7.57,16.3
1907-10,30.33,11.7
1907-11,11.72,4.9
1907-12,46.47,-0.9
1908-01,19.11,-1.1
1908-02,21.84,1.2
1908-03,32.45,4.8
1908-04,11.31,11.0
1908-05,101.67,12.0
1908-06,44.89,16.3
1908-07,15.57,24.3
1908-08,29.50,21.3
1908-09,60.38,16.7
1908-10,69.66,8.6
1908-11,27.91,3.0
1908-12,18.94,-2.0
1909-01,66.30,2.4
1909-02,49.36,1.4
1909-03,53.59,4.5
1909-04,32.31,7.9
1909-05,54.58,12.3
1909-06,7.17,20.6
1909-07,30.50,22.8
1909-08,44.58,23.5
1909-09,48.49,16.3
1909-10,16.32,11.6
1909-11,71.31,5.5
1909-12,44.45,-4.6
1910-01,30.83,-3.1
1910-02,31.40,-1.4
1910-03,19.27,8.9
1910-04,15.14,12.8
1910-05,14.51,15.1
1910-06,2.84,22.0
1910-07,19.51,25.1
1910-08,9.53,21.7
1910-09,22.12,18.3
1910-10,39.63,11.2
1910-11,23.18,6.6
1910-12,26.04,1.2
1911-01,81.08,1.2
1911-02,29.60,-1.5
1911-03,41.91,6.3
1911-04,38.90,9.8
1911-05,29.43,14.3
1911-06,31.90,20.0
1911-07,11.86,23.1
1911-08,0.00,22.7
1911-09,37.07,17.9
1911-10,30.91,9.5
1911-11,30.66,2.4
1911-12,14.62,-2.8
1912-01,22.44,0.0
1912-02,19.89,2.1
1912-03,67.25,4.6
1912-04,48.01,8.0
1912-05,45.45,13.7
1912-06,21.13,19.7
1912-07,21.98,22.3
1912-08,24.58,21.5
1912-09,23.20,14.0
1912-10,79.39,9.1
1912-11,29.73,4.7
1912-12,10.67,-1.8
1913-01,17.40,-3.4
1913-02,31.97,-1.0
1913-03,36.92,3.2
1913-04,40.82,10.5
1913-05,21.51,16.4
1913-06,65.76,19.9
1913-07,24.52,22.6
1913-08,21.68,23.9
1913-09,34.50,17.4
1913-10,29.00,9.6
1913-11,46.35,5.9
1913-12,28.59,-1.5
1914-01,63.53,0.8
1914-02,20.50,1.0
1914-03,20.81,6.9
1914-04,61.91,11.1
1914-05,25.22,16.9
1914-06,58.87,19.0
1914-07,35.96,24.5
1914-08,8.22,23.8
1914-09,17.11,18.0
1914-10,48.51,12.2
1914-11,3.75,3.9
1914-12,10.59,-3.0
1915-01,22.11,-3.4
1915-02,47.84,2.2
1915-03,20.87,6.8
1915-04,52.39,13.9
1915-05,61.23,13.9
1915-06,15.39,18.0
1915-07,4.08,23.9
1915-08,3.98,25.9
1915-09,55.53,16.7
1915-10,2.70,11.7
1915-11,28.31,5.6
1915-12,21.29,0.4
1916-01,65.29,-2.8
1916-02,26.83,0.9
1916-03,49.57,6.6
1916-04,23.01,10.8
1916-05,11.85,13.5
1916-06,14.86,18.7
1916-07,15.38,25.3
1916-08,18.59,23.3
1916-09,17.99,18.4
1916-10,66.59,9.5
1916-11,18.55,1.4
1916-12,42.58,-2.5
1917-01,23.95,-7.0
1917-02,34.85,-2.1
1917-03,26.90,0.1
1917-04,44.53,7.6
1917-05,77.68,12.7
1917-06,4.77,18.7
1917-07,28.55,25.7
1917-08,7.17,22.7
1917-09,27.94,19.3
1917-10,1.91,12.2
1917-11,30.62,5.8
1917-12,7.65,4.3
1918-01,52.31,-0.5
1918-02,33.33,-0.6
1918-03,35.29,7.0
1918-04,23.47,9.1
1918-05,37.60,14.4
1918-06,26.86,24.6
1918-07,31.74,24.4
1918-08,6.13,21.5
1918-09,40.94,19.4
1918-10,45.29,12.6
1918-11,27.92,3.6
1918-12,11.67,-1.1
1919-01,2.14,-0.7
1919-02,42.82,1.4
1919-03,22.22,6.0
1919-04,33.95,11.3
1919-05,22.34,17.8
1919-06,0.00,23.4
1919-07,10.92,27.0
1919-08,12.97,24.2
1919-09,51.60,19.2
1919-10,53.46,6.9
1919-11,24.89,3.1
1919-12,21.15,-4.4
1920-01,18.41,-1.3
1920-02,22.90,3.6
1920-03,68.28,3.9
1920-04,77.48,6.7
1920-05,46.77,15.1
1920-06,11.26,20.3
1920-07,12.58,26.0
1920-08,30.50,24.4
1920-09,26.24,17.2
1920-10,90.01,9.4
1920-11,35.08,4.1
1920-12,24.81,-0.3
1921-01,27.58,0.9
1921-02,24.17,1.9
1921-03,33.13,6.8
1921-04,66.69,8.4
1921-05,52.82,15.3
1921-06,10.92,22.0
1921-07,16.93,26.2
1921-08,27.62,24.3
1921-09,14.05,16.9
1921-10,29.41,13.9
1921-11,19.14,6.6
1921-12,57.07,2.2
1922-01,31.19,-4.9
1922-02,44.69,-1.5
1922-03,36.99,2.0
1922-04,64.95,6.3
1922-05,35.97,14.8
1922-06,12.27,23.1
1922-07,11.73,24.2
1922-08,39.22,24.5
1922-09,5.34,20.3
1922-10,22.79,12.5
1922-11,47.77,3.0
1922-12,41.72,1.0
1923-01,28.51,1.2
1923-02,14.68,-3.3
1923-03,31.16,2.9
1923-04,77.86,8.9
1923-05,42.75,15.0
1923-06,23.09,17.9
1923-07,18.73,25.3
1923-08,27.18,22.8
1923-09,36.25,18.1
1923-10,56.61,8.1
1923-11,14.83,5.3
1923-12,23.57,-2.4
1924-01,9.68,-3.9
1924-02,7.49,3.1
1924-03,46.25,2.9
1924-04,17.39,9.4
1924-05,31.30,15.7
1924-06,3.21,20.9
1924-07,15.80,24.6
1924-08,10.90,22.4
1924-09,13.63,17.0
1924-10,36.17,9.8
1924-11,30.25,3.3
1924-12,47.33,-5.3
1925-01,13.43,-3.3
1925-02,29.67,3.5
1925-03,44.72,7.2
1925-04,48.05,10.4
1925-05,38.28,17.1
1925-06,48.68,18.5
1925-07,30.32,25.1
1925-08,31.69,22.1
1925-09,32.00,16.4
1925-10,31.15,10.9
1925-11,32.40,4.1
1925-12,9.53,1.6
