Year,Agriculture,Muncipal,Reservoir,Mineral,Wetland,Imports,Net Depletion,Population
1850,0,0,0,0,0,0,0,11.88
1851,0.03,0,0,0,0,0,0.03,13.42258599
1852,0.06,0,0,0,0,0,0.06,15.16547261
1853,0.09,0,0,0,0,0,0.09,17.13466836
1854,0.12,0,0,0,0,0,0.12,19.35955887
1855,0.15,0,0,0,0,0,0.15,21.87334542
1856,0.17,0,0,0,0,0,0.18,24.71354038
1857,0.2,0,0,0,0,0,0.21,27.92252701
1858,0.23,0,0,0,0,0,0.23,31.5481919
1859,0.26,0,0,0,0,0,0.26,35.6446396
1860,0.28,0,0,0,0,0,0.29,40.273
1861,0.31,0,0,0,0,0,0.31,43.48590799
1862,0.33,0,0,0,0,0,0.34,46.95513604
1863,0.36,0,0,0,0,0,0.36,50.7011329
1864,0.38,0,0,0,0,0,0.39,54.7459787
1865,0.41,0.01,0,0,0,0,0.41,59.11351507
1866,0.43,0.01,0,0,0,0,0.44,63.82948569
1867,0.46,0.01,0,0,0,0,0.46,68.92168802
1868,0.48,0.01,0,0,0,0,0.49,74.42013716
1869,0.5,0.01,0,0,0,0,0.51,80.35724274
1870,0.52,0.01,0,0,0,0,0.54,86.768
1871,0.55,0.01,0,0,0,0,0.56,91.27434335
1872,0.57,0.01,0,0,0,0,0.58,96.01472609
1873,0.59,0.01,0,0,0,0,0.6,101.0013032
1874,0.61,0.01,0,0,0,0,0.63,106.2468609
1875,0.64,0.02,0,0,0,0,0.65,111.7648495
1876,0.66,0.01,0,0,0,0,0.67,117.5694178
1877,0.68,0.01,0,0,0,0,0.7,123.6754496
1878,0.7,0.01,0,0,0,0,0.72,130.0986015
1879,0.72,0.02,0,0,0,0,0.74,136.8553432
1880,0.75,0.02,0,0,0,0,0.76,143.963
1881,0.77,0.02,0,0,0,0,0.78,149.3524299
1882,0.79,0.02,0,0,0,0,0.8,154.9436197
1883,0.81,0.02,0,0,0,0,0.83,160.7441224
1884,0.83,0.02,0,0,0,0,0.85,166.761774
1885,0.85,0.02,0,0,0,0,0.87,173.0047037
1886,0.87,0.01,0,0,0,0,0.89,179.4813451
1887,0.89,0.01,0,0,0,0,0.9,186.2004474
1888,0.91,0.02,0,0,0,0,0.92,193.1710875
1889,0.93,0.02,0,0,0,0,0.95,200.402682
1890,0.95,0.02,0,0,0,0,0.97,207.905
1891,0.97,0.02,0,0,0,0,0.99,213.9569595
1892,0.99,0.02,0,0,0,0,1.01,220.1850869
1893,1.01,0.02,0,0,0,0,1.03,226.5945106
1894,1.03,0.02,0,0,0,0,1.05,233.1905077
1895,1.05,0.02,0,0,0,0,1.07,239.9785095
1896,1.07,0.02,0,0,0,0,1.09,246.9641048
1897,1.09,0.02,0.01,0,0,0,1.12,254.1530457
1898,1.1,0.02,0.01,0,0,0,1.13,261.5512513
1899,1.12,0.02,0.01,0,0,0,1.15,269.1648131
1900,1.14,0.02,0.01,0,0,0,1.17,277
1901,1.16,0.02,0.01,0,0.02,0,1.21,284
1902,1.18,0.02,0.01,0,0.02,0,1.23,292
1903,1.2,0.02,0.01,0,0.03,0,1.25,299
1904,1.22,0.02,0.01,0,0.03,0,1.28,308
1905,1.24,0.02,0.01,0,0.03,0,1.3,316
1906,1.25,0.02,0.01,0,0.03,0.07,1.24,327
1907,1.27,0.02,0.01,0,0.03,0.07,1.26,339
1908,1.29,0.02,0.01,0,0.03,0.07,1.27,351
1909,1.3,0.02,0.01,0,0.03,0.07,1.29,363
1910,1.32,0.03,0.01,0,0.04,0.07,1.32,377
1911,1.34,0.03,0.01,0,0.04,0.07,1.34,387
1912,1.35,0.02,0,0,0.04,0.07,1.35,399
1913,1.37,0.03,0,0,0.04,0.07,1.37,410
1914,1.39,0.03,0,0,0.04,0.07,1.39,422
1915,1.4,0.02,0,0,0.04,0.07,1.4,430
1916,1.42,0.03,0,0,0.04,0.07,1.42,436
1917,1.43,0.02,0,0,0.04,0.07,1.43,444
1918,1.45,0.03,0,0,0.04,0.07,1.45,437
1919,1.45,0.02,0.01,0,0.04,0.07,1.45,446
1920,1.45,0.02,0.01,0,0.04,0.07,1.45,453
1921,1.45,0.03,0.01,0,0.04,0.07,1.45,457
1922,1.44,0.02,0.01,0,0.04,0.07,1.45,467
1923,1.44,0.03,0.01,0,0.04,0.07,1.44,474
1924,1.43,0.03,0.01,0,0.04,0.07,1.43,481
1925,1.42,0.03,0.01,0,0.04,0.07,1.43,487
1926,1.41,0.03,0.01,0,0.04,0.07,1.42,494
1927,1.4,0.03,0.01,0,0.04,0.07,1.42,500
1928,1.4,0.03,0.01,0,0.04,0.07,1.41,504
1929,1.39,0.04,0.01,0,0.04,0.07,1.41,508
1930,1.39,0.04,0.01,0,0.05,0.07,1.41,509
1931,1.38,0.04,0.01,0,0.1,0.07,1.46,513
1932,1.37,0.04,0.01,0,0.1,0.07,1.46,517
1933,1.37,0.04,0.02,0,0.1,0.06,1.47,520
1934,1.36,0.05,0.02,0,0.12,0.03,1.52,522
1935,1.36,0.05,0.02,0,0.12,0.05,1.49,526
1936,1.35,0.05,0.02,0,0.12,0.05,1.49,527
1937,1.35,0.06,0.02,0,0.13,0.06,1.49,529
1938,1.34,0.06,0.02,0,0.14,0.07,1.5,535
1939,1.34,0.06,0.02,0,0.14,0.08,1.49,543
1940,1.34,0.06,0.02,0,0.17,0.06,1.53,552
1941,1.34,0.07,0.02,0,0.17,0.05,1.54,551
1942,1.34,0.07,0.02,0,0.17,0.06,1.53,575
1943,1.34,0.07,0.03,0,0.17,0.07,1.54,631
1944,1.34,0.07,0.03,0,0.17,0.07,1.54,605
1945,1.34,0.07,0.03,0,0.17,0.06,1.56,591
1946,1.35,0.07,0.03,0,0.17,0.08,1.54,638
1947,1.35,0.08,0.03,0,0.17,0.07,1.56,636
1948,1.35,0.08,0.03,0,0.17,0.08,1.56,653
1949,1.36,0.08,0.03,0,0.17,0.08,1.57,671
1950,1.36,0.08,0.03,0,0.17,0.08,1.58,696
1951,1.37,0.09,0.03,0,0.17,0.08,1.58,706
1952,1.38,0.09,0.03,0,0.18,0.06,1.61,724
1953,1.38,0.09,0.03,0,0.18,0.09,1.6,739
1954,1.39,0.1,0.03,0,0.18,0.13,1.57,750
1955,1.4,0.1,0.03,0,0.18,0.09,1.62,783
1956,1.4,0.11,0.03,0,0.18,0.12,1.6,809
1957,1.41,0.11,0.03,0,0.18,0.11,1.63,826
1958,1.42,0.12,0.03,0,0.18,0.1,1.65,845
1959,1.43,0.12,0.03,0,0.18,0.12,1.64,870
1960,1.44,0.13,0.03,0,0.18,0.13,1.65,900
1961,1.45,0.13,0.03,0,0.18,0.09,1.71,936
1962,1.46,0.14,0.03,0,0.18,0.12,1.7,958
1963,1.47,0.14,0.03,0,0.18,0.1,1.73,974
1964,1.48,0.15,0.04,0,0.18,0.11,1.74,978
1965,1.48,0.15,0.04,0,0.18,0.09,1.76,994
1966,1.48,0.15,0.05,0,0.18,0.12,1.75,1009
1967,1.48,0.15,0.05,0,0.18,0.1,1.77,1019
1968,1.48,0.16,0.06,0,0.18,0.08,1.79,1029
1969,1.48,0.16,0.06,0,0.18,0.08,1.8,1047
1970,1.48,0.16,0.06,0,0.18,0.12,1.77,1059.273
1971,1.48,0.17,0.06,0,0.18,0.1,1.78,1101.192
1972,1.48,0.17,0.06,0,0.18,0.13,1.76,1135.449
1973,1.48,0.17,0.06,0,0.18,0.09,1.8,1170.04
1974,1.48,0.17,0.06,0,0.18,0.1,1.79,1200.471
1975,1.48,0.18,0.06,0.01,0.18,0.09,1.81,1236.03
1976,1.48,0.18,0.06,0.01,0.18,0.12,1.79,1274.928
1977,1.48,0.18,0.06,0.01,0.18,0.1,1.82,1319.512
1978,1.48,0.18,0.05,0.02,0.18,0.1,1.81,1367.51
1979,1.48,0.19,0.06,0.02,0.18,0.13,1.8,1420.238
1980,1.48,0.19,0.06,0.02,0.18,0.09,1.84,1472.595
1981,1.48,0.19,0.06,0.03,0.18,0.11,1.83,1515.471
1982,1.48,0.19,0.06,0.03,0.18,0.07,1.87,1558.314
1983,1.48,0.2,0.06,0.04,0.18,0.01,1.94,1594.943
1984,1.48,0.2,0.06,0.04,0.18,0.02,1.94,1622.342
1985,1.48,0.2,0.06,0.04,0.18,0.07,1.9,1642.91
1986,1.48,0.2,0.06,0,0.18,0.07,1.86,1662.834
1987,1.48,0.21,0.07,0,0.18,0.14,1.79,1678.119
1988,1.48,0.21,0.07,0,0.18,0.26,1.68,1689.372
1989,1.46,0.21,0.07,0.06,0.18,0.19,1.79,1705.864
1990,1.51,0.21,0.07,0.08,0.18,0.14,1.93,1729.722
1991,1.24,0.21,0.05,0.03,0.18,0.14,1.58,1771.941
1992,1.4,0.21,0.07,0.1,0.18,0.17,1.79,1821.498
1993,0.79,0.21,0.04,0.08,0.18,0.15,1.16,1875.993
1994,1.4,0.21,0.08,0.09,0.18,0.14,1.82,1930.436
1995,0.77,0.21,0.04,0.13,0.18,0.11,1.23,1976.774
1996,1.25,0.21,0.07,0.17,0.18,0.12,1.77,2022.253
1997,0.78,0.21,0.04,0.1,0.18,0.12,1.2,2065.397
1998,0.81,0.21,0.04,0.07,0.18,0.12,1.21,2100.562
1999,1.1,0.21,0.06,0.15,0.18,0.13,1.57,2129.836
2000,1.6,0.21,0.08,0.19,0.18,0.14,2.13,2244.502
2001,1.67,0.23,0.08,0.19,0.18,0.16,2.18,2283.715
2002,1.38,0.23,0.07,0.19,0.18,0.17,1.89,2324.815
2003,1.51,0.21,0.08,0.24,0.18,0.16,2.07,2360.137
2004,1.07,0.21,0.06,0.19,0.18,0.18,1.54,2401.58
2005,0.57,0.22,0.04,0.15,0.18,0.16,1,2457.719
2006,1.17,0.22,0.06,0.19,0.18,0.12,1.7,2525.507
2007,1.56,0.22,0.08,0.4,0.18,0.16,2.29,2597.746
2008,1.35,0.22,0.06,0.13,0.18,0.14,1.81,2663.029
2009,1.04,0.22,0.05,0.23,0.18,0.14,1.59,2723.421
2010,1.36,0.22,0.06,0.23,0.18,0.16,1.89,2775.413
2011,0.7,0.22,0.03,0.2,0.18,0.19,1.14,2814.797
2012,1.47,0.22,0.08,0.29,0.18,0.2,2.04,2854.146
2013,1.39,0.22,0.07,0.28,0.18,0.14,1.99,2898.773
2014,,,,,,,,2938.327
2015,,,,,,,,2983.626
2016,,,,,,,,3044.241
2017,,,,,,,,3103.54
2018,,,,,,,,3155.153
2019,,,,,,,,3203.383
2020,,,,,,,,3281.684
2021,,,,,,,,3337.975
